question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_diagnostic_criteria-functional_impairment_required,question-sampled_features-sampled_diagnostic_criteria-additional_requirements,question-sampled_features-sampled_diagnostic_criteria-duration,question-sampled_features-sampled_symptom_groups,option-options,option-index_types
D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),,['Onset prior to age 12 years'],1 year and 10 months,"{'inattention': {'symptoms': ['Sustained_Mental_Effort_Avoidance', 'Distractibility']}, 'hyperactivity_impulsivity': {'symptoms': ['Leaving_Seat', 'Feeling_Restless']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Body Dysmorphic Disorder', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)']","['Highly likely option', 'answer', 'Less likely option', 'Highly likely option']"
D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),True,,2 years and 5 months,"{'inattention': {'symptoms': ['Instruction_Follow through_Difficulty', 'Losing_Items']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Bipolar I Disorder']","['answer', 'Highly likely option', 'Highly likely option', 'Less likely option']"
D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),,,7 months,"{'inattention': {'symptoms': ['Distractibility', 'Daily_Activities_Forgetfulness']}, 'hyperactivity_impulsivity': {'symptoms': ['Fidgeting']}}","['Schizoaffective Disorder (Depressive Type)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)']","['Less likely option', 'Highly likely option', 'answer', 'Highly likely option']"
D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),,,6 months,"{'inattention': {'symptoms': ['Listening_Difficulty', 'Distractibility']}}","['Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Acute Stress Disorder', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)']","['Highly likely option', 'Less likely option', 'answer', 'Highly likely option']"
D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),,,1 year and 7 months,"{'inattention': {'symptoms': ['Sustained_Attention_Difficulty', 'Sustained_Mental_Effort_Avoidance', 'Losing_Items']}, 'hyperactivity_impulsivity': {'symptoms': ['Fidgeting']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Schizophrenia', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)']","['answer', 'Less likely option', 'Highly likely option', 'Highly likely option']"
D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),True,,1 year and 11 months,"{'inattention': {'symptoms': ['Listening_Difficulty', 'Sustained_Mental_Effort_Avoidance', 'Distractibility']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Bipolar I Disorder', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)']","['answer', 'Highly likely option', 'Less likely option', 'Highly likely option']"
D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),,,7 months,"{'inattention': {'symptoms': ['Listening_Difficulty', 'Organization_Difficulty', 'Distractibility']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Generalized Anxiety Disorder', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)']","['Highly likely option', 'answer', 'Less likely option', 'Highly likely option']"
D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),True,['Onset prior to age 12 years'],1 year and 8 months,"{'inattention': {'symptoms': ['Instruction_Follow through_Difficulty', 'Losing_Items', 'Distractibility']}}","['Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Schizophrenia', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)']","['Highly likely option', 'Less likely option', 'answer', 'Highly likely option']"
D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),True,,1 year and 8 months,"{'inattention': {'symptoms': ['Distractibility', 'Daily_Activities_Forgetfulness']}, 'hyperactivity_impulsivity': {'symptoms': ['Constant_Activity']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Generalized Anxiety Disorder']","['Highly likely option', 'answer', 'Highly likely option', 'Less likely option']"
D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),True,,9 months,"{'inattention': {'symptoms': ['Detail_Inattention_Errors', 'Sustained_Attention_Difficulty', 'Distractibility']}, 'hyperactivity_impulsivity': {'symptoms': ['Fidgeting', 'Constant_Activity']}}","['Adjustment Disorder', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)']","['Less likely option', 'answer', 'Highly likely option', 'Highly likely option']"
