question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_diagnostic_criteria-functional_impairment_required,question-sampled_features-sampled_diagnostic_criteria-duration,question-sampled_features-sampled_symptom_groups,option-options,option-index_types
D019,Acute Stress Disorder,D019,Acute Stress Disorder,,6 days,"{'acute_stress_symptoms': {'symptoms': ['Intrusive_Symptoms', 'Hypervigilance']}}","['Acute Stress Disorder', 'Posttraumatic Stress Disorder', 'Bulimia Nervosa', 'Anorexia Nervosa']","['answer', 'Moderately likely option', 'Less likely option', 'Less likely option']"
D019,Acute Stress Disorder,D019,Acute Stress Disorder,True,2 weeks,"{'acute_stress_symptoms': {'symptoms': ['Inability_Positive_Emotions', 'Irritability_Aggression']}}","['Acute Stress Disorder', 'Posttraumatic Stress Disorder', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Major Depressive Disorder']","['answer', 'Moderately likely option', 'Less likely option', 'Less likely option']"
D019,Acute Stress Disorder,D019,Acute Stress Disorder,True,4 weeks,"{'acute_stress_symptoms': {'symptoms': ['Diminished_Thinking', 'Exaggerated_Startle_Response']}}","['Posttraumatic Stress Disorder', 'Acute Stress Disorder', 'Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)']","['Moderately likely option', 'answer', 'Moderately likely option', 'Moderately likely option']"
D019,Acute Stress Disorder,D019,Acute Stress Disorder,True,2 weeks,"{'acute_stress_symptoms': {'symptoms': ['Intrusive_Symptoms', 'Inability_Positive_Emotions', 'Hypervigilance']}}","['Posttraumatic Stress Disorder', 'Major Depressive Disorder with Psychotic Features', 'Anorexia Nervosa', 'Acute Stress Disorder']","['Moderately likely option', 'Less likely option', 'Less likely option', 'answer']"
D019,Acute Stress Disorder,D019,Acute Stress Disorder,,6 days,"{'acute_stress_symptoms': {'symptoms': ['Sleep_Disturbance', 'Intrusive_Symptoms', 'Inability_Positive_Emotions']}}","['Posttraumatic Stress Disorder', 'Bipolar I Disorder', 'Schizoaffective Disorder (Bipolar Type)', 'Acute Stress Disorder']","['Moderately likely option', 'Moderately likely option', 'Moderately likely option', 'answer']"
D019,Acute Stress Disorder,D019,Acute Stress Disorder,,2 weeks,"{'acute_stress_symptoms': {'symptoms': ['Trauma_Avoidance', 'Hypervigilance']}}","['Binge-Eating Disorder', 'Acute Stress Disorder', 'Bipolar I Disorder with Psychotic Features', 'Posttraumatic Stress Disorder']","['Less likely option', 'answer', 'Less likely option', 'Moderately likely option']"
D019,Acute Stress Disorder,D019,Acute Stress Disorder,True,2 weeks,"{'acute_stress_symptoms': {'symptoms': ['Sleep_Disturbance', 'Diminished_Thinking', 'Inability_Positive_Emotions']}}","['Major Depressive Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)', 'Posttraumatic Stress Disorder', 'Acute Stress Disorder']","['Moderately likely option', 'Moderately likely option', 'Moderately likely option', 'answer']"
D019,Acute Stress Disorder,D019,Acute Stress Disorder,True,1 weeks,"{'acute_stress_symptoms': {'symptoms': ['Inability_Positive_Emotions', 'Hypervigilance']}}","['Posttraumatic Stress Disorder', 'Bipolar I Disorder with Psychotic Features', 'Specific Phobia', 'Acute Stress Disorder']","['Moderately likely option', 'Less likely option', 'Less likely option', 'answer']"
D019,Acute Stress Disorder,D019,Acute Stress Disorder,,1 weeks,"{'acute_stress_symptoms': {'symptoms': ['Intrusive_Symptoms', 'Trauma_Related_Amnesia', 'Depersonalization_Derealization']}}","['Acute Stress Disorder', 'Posttraumatic Stress Disorder', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Persistent Depressive Disorder']","['answer', 'Moderately likely option', 'Less likely option', 'Less likely option']"
D019,Acute Stress Disorder,D019,Acute Stress Disorder,True,2 weeks,"{'acute_stress_symptoms': {'symptoms': ['Sleep_Disturbance', 'Inability_Positive_Emotions', 'Exaggerated_Startle_Response']}}","['Acute Stress Disorder', 'Bipolar II Disorder', 'Bipolar I Disorder', 'Posttraumatic Stress Disorder']","['answer', 'Moderately likely option', 'Moderately likely option', 'Moderately likely option']"
