question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_diagnostic_criteria-additional_requirements,question-sampled_features-sampled_diagnostic_criteria-duration,question-sampled_features-sampled_symptom_groups,option-options,option-index_types,question-sampled_features-sampled_diagnostic_criteria-functional_impairment_required
D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),['Onset prior to age 12 years'],11 months,"{'inattention': {'symptoms': ['Sustained_Mental_Effort_Avoidance', 'Losing_Items', 'Daily_Activities_Forgetfulness']}, 'hyperactivity_impulsivity': {'symptoms': ['Fidgeting', 'Excessive_Talking', 'Blurting_Answers']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Specific Phobia', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)']","['Highly likely option', 'Highly likely option', 'Less likely option', 'answer']",
D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),,2 years and 2 months,"{'inattention': {'symptoms': ['Detail_Inattention_Errors', 'Losing_Items', 'Distractibility']}, 'hyperactivity_impulsivity': {'symptoms': ['Feeling_Restless', 'Quiet_Activity_Difficulty', 'Waiting_Turn_Difficulty']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Bipolar I Disorder']","['Highly likely option', 'answer', 'Highly likely option', 'Less likely option']",
D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),,7 months,"{'inattention': {'symptoms': ['Sustained_Attention_Difficulty', 'Instruction_Follow through_Difficulty']}, 'hyperactivity_impulsivity': {'symptoms': ['Feeling_Restless', 'Excessive_Talking']}}","['Delusional Disorder', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)']","['Less likely option', 'Highly likely option', 'answer', 'Highly likely option']",
D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),,1 year and 3 months,"{'inattention': {'symptoms': ['Instruction_Follow through_Difficulty', 'Distractibility']}, 'hyperactivity_impulsivity': {'symptoms': ['Quiet_Activity_Difficulty', 'Blurting_Answers']}}","['Bipolar I Disorder with Psychotic Features', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)']","['Less likely option', 'answer', 'Highly likely option', 'Highly likely option']",True
D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),,1 year and 4 months,"{'inattention': {'symptoms': ['Listening_Difficulty', 'Distractibility', 'Daily_Activities_Forgetfulness']}, 'hyperactivity_impulsivity': {'symptoms': ['Fidgeting', 'Leaving_Seat', 'Constant_Activity']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Bulimia Nervosa', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)']","['Highly likely option', 'answer', 'Less likely option', 'Highly likely option']",True
D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),['Onset prior to age 12 years'],1 year and 4 months,"{'inattention': {'symptoms': ['Listening_Difficulty', 'Organization_Difficulty']}, 'hyperactivity_impulsivity': {'symptoms': ['Quiet_Activity_Difficulty', 'Blurting_Answers']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Acute Stress Disorder', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)']","['Highly likely option', 'Less likely option', 'answer', 'Highly likely option']",
D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),,1 year and 2 months,"{'inattention': {'symptoms': ['Detail_Inattention_Errors', 'Sustained_Attention_Difficulty', 'Sustained_Mental_Effort_Avoidance']}, 'hyperactivity_impulsivity': {'symptoms': ['Fidgeting', 'Constant_Activity', 'Interrupting_Intruding']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Anorexia Nervosa']","['Highly likely option', 'answer', 'Highly likely option', 'Less likely option']",
D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),['Onset prior to age 12 years'],1 year and 10 months,"{'inattention': {'symptoms': ['Sustained_Attention_Difficulty', 'Organization_Difficulty']}, 'hyperactivity_impulsivity': {'symptoms': ['Leaving_Seat', 'Waiting_Turn_Difficulty']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Major Depressive Disorder with Psychotic Features', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)']","['Highly likely option', 'Less likely option', 'Highly likely option', 'answer']",
D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),,2 years and 2 months,"{'inattention': {'symptoms': ['Organization_Difficulty', 'Sustained_Mental_Effort_Avoidance', 'Daily_Activities_Forgetfulness']}, 'hyperactivity_impulsivity': {'symptoms': ['Leaving_Seat', 'Blurting_Answers', 'Waiting_Turn_Difficulty']}}","['Adjustment Disorder', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)']","['Less likely option', 'Highly likely option', 'Highly likely option', 'answer']",
D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),,1 year,"{'inattention': {'symptoms': ['Detail_Inattention_Errors', 'Sustained_Attention_Difficulty', 'Losing_Items']}, 'hyperactivity_impulsivity': {'symptoms': ['Leaving_Seat', 'Constant_Activity', 'Blurting_Answers']}}","['Schizoaffective Disorder (Depressive Type)', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)']","['Less likely option', 'answer', 'Highly likely option', 'Highly likely option']",
