question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_diagnostic_criteria-additional_requirements,question-sampled_features-sampled_diagnostic_criteria-duration,question-sampled_features-sampled_symptom_groups,option-options,option-index_types,question-sampled_features-sampled_diagnostic_criteria-functional_impairment_required
D020,Adjustment Disorder,D020,Adjustment Disorder,"['Symptoms must develop within 3 months of the onset of the stressor', 'Within 6 months of the termination of the stressor or its consequences']",4 months,{'adjustment_symptoms': {'symptoms': ['Stress_Related_Maladaptive_Response']}},"['Adjustment Disorder', 'Obsessive-Compulsive Disorder', 'Specific Phobia', 'Major Depressive Disorder with Psychotic Features']","['answer', 'Less likely option', 'Less likely option', 'Less likely option']",True
D020,Adjustment Disorder,D020,Adjustment Disorder,"['Symptoms must develop within 3 months of the onset of the stressor', 'Within 6 months of the termination of the stressor or its consequences']",1 month,{'adjustment_symptoms': {'symptoms': ['Stress_Related_Maladaptive_Response']}},"['Adjustment Disorder', 'Body Dysmorphic Disorder', 'Obsessive-Compulsive Disorder', 'Bipolar I Disorder with Psychotic Features']","['answer', 'Less likely option', 'Less likely option', 'Less likely option']",True
D020,Adjustment Disorder,D020,Adjustment Disorder,"['Symptoms must develop within 3 months of the onset of the stressor', 'Within 6 months of the termination of the stressor or its consequences']",1 month,{'adjustment_symptoms': {'symptoms': ['Stress_Related_Maladaptive_Response']}},"['Adjustment Disorder', 'Persistent Depressive Disorder', 'Anorexia Nervosa', 'Binge-Eating Disorder']","['answer', 'Less likely option', 'Less likely option', 'Less likely option']",True
D020,Adjustment Disorder,D020,Adjustment Disorder,"['Symptoms must develop within 3 months of the onset of the stressor', 'Within 6 months of the termination of the stressor or its consequences']",5 months,{'adjustment_symptoms': {'symptoms': ['Stress_Related_Maladaptive_Response']}},"['Adjustment Disorder', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Obsessive-Compulsive Disorder', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)']","['answer', 'Less likely option', 'Less likely option', 'Less likely option']",
D020,Adjustment Disorder,D020,Adjustment Disorder,"['Symptoms must develop within 3 months of the onset of the stressor', 'Within 6 months of the termination of the stressor or its consequences']",5 months,{'adjustment_symptoms': {'symptoms': ['Stress_Related_Maladaptive_Response']}},"['Bipolar II Disorder', 'Major Depressive Disorder with Psychotic Features', 'Bulimia Nervosa', 'Adjustment Disorder']","['Less likely option', 'Less likely option', 'Less likely option', 'answer']",True
D020,Adjustment Disorder,D020,Adjustment Disorder,"['Symptoms must develop within 3 months of the onset of the stressor', 'Within 6 months of the termination of the stressor or its consequences']",1 weeks,{'adjustment_symptoms': {'symptoms': ['Stress_Related_Maladaptive_Response']}},"['Bipolar II Disorder', 'Adjustment Disorder', 'Obsessive-Compulsive Disorder', 'Major Depressive Disorder with Psychotic Features']","['Less likely option', 'answer', 'Less likely option', 'Less likely option']",
D020,Adjustment Disorder,D020,Adjustment Disorder,"['Symptoms must develop within 3 months of the onset of the stressor', 'Within 6 months of the termination of the stressor or its consequences']",1 weeks,{'adjustment_symptoms': {'symptoms': ['Stress_Related_Maladaptive_Response']}},"['Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Adjustment Disorder', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Bulimia Nervosa']","['Less likely option', 'answer', 'Less likely option', 'Less likely option']",True
D020,Adjustment Disorder,D020,Adjustment Disorder,"['Symptoms must develop within 3 months of the onset of the stressor', 'Within 6 months of the termination of the stressor or its consequences']",5 months,{'adjustment_symptoms': {'symptoms': ['Stress_Related_Maladaptive_Response']}},"['Adjustment Disorder', 'Bipolar II Disorder', 'Bulimia Nervosa', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)']","['answer', 'Less likely option', 'Less likely option', 'Less likely option']",True
D020,Adjustment Disorder,D020,Adjustment Disorder,"['Symptoms must develop within 3 months of the onset of the stressor', 'Within 6 months of the termination of the stressor or its consequences']",4 months,{'adjustment_symptoms': {'symptoms': ['Stress_Related_Maladaptive_Response']}},"['Binge-Eating Disorder', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Persistent Depressive Disorder', 'Adjustment Disorder']","['Less likely option', 'Less likely option', 'Less likely option', 'answer']",
D020,Adjustment Disorder,D020,Adjustment Disorder,"['Symptoms must develop within 3 months of the onset of the stressor', 'Within 6 months of the termination of the stressor or its consequences']",1 month,{'adjustment_symptoms': {'symptoms': ['Stress_Related_Maladaptive_Response']}},"['Major Depressive Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)', 'Major Depressive Disorder', 'Adjustment Disorder']","['Less likely option', 'Less likely option', 'Less likely option', 'answer']",True
