question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_diagnostic_criteria-functional_impairment_required,question-sampled_features-sampled_symptom_groups,option-options,option-index_types
D017,Body Dysmorphic Disorder,D017,Body Dysmorphic Disorder,True,"{'dysmorphic_symptoms': {'symptoms': ['Preoccupation_with_Appearance', 'Appearance_Related_Repetitive_Behaviors']}}","['Bulimia Nervosa', 'Specific Phobia', 'Body Dysmorphic Disorder', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)']","['Less likely option', 'Less likely option', 'answer', 'Less likely option']"
D017,Body Dysmorphic Disorder,D017,Body Dysmorphic Disorder,True,"{'dysmorphic_symptoms': {'symptoms': ['Preoccupation_with_Appearance', 'Appearance_Related_Repetitive_Behaviors']}}","['Acute Stress Disorder', 'Body Dysmorphic Disorder', 'Generalized Anxiety Disorder', 'Specific Phobia']","['Less likely option', 'answer', 'Less likely option', 'Less likely option']"
D017,Body Dysmorphic Disorder,D017,Body Dysmorphic Disorder,True,"{'dysmorphic_symptoms': {'symptoms': ['Preoccupation_with_Appearance', 'Appearance_Related_Repetitive_Behaviors']}}","['Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Delusional Disorder', 'Body Dysmorphic Disorder', 'Anorexia Nervosa']","['Less likely option', 'Less likely option', 'answer', 'Less likely option']"
D017,Body Dysmorphic Disorder,D017,Body Dysmorphic Disorder,True,"{'dysmorphic_symptoms': {'symptoms': ['Preoccupation_with_Appearance', 'Appearance_Related_Repetitive_Behaviors']}}","['Body Dysmorphic Disorder', 'Schizoaffective Disorder (Bipolar Type)', 'Obsessive-Compulsive Disorder', 'Major Depressive Disorder with Psychotic Features']","['answer', 'Less likely option', 'Less likely option', 'Less likely option']"
D017,Body Dysmorphic Disorder,D017,Body Dysmorphic Disorder,True,"{'dysmorphic_symptoms': {'symptoms': ['Preoccupation_with_Appearance', 'Appearance_Related_Repetitive_Behaviors']}}","['Posttraumatic Stress Disorder', 'Schizoaffective Disorder (Depressive Type)', 'Body Dysmorphic Disorder', 'Schizoaffective Disorder (Bipolar Type)']","['Less likely option', 'Less likely option', 'answer', 'Less likely option']"
D017,Body Dysmorphic Disorder,D017,Body Dysmorphic Disorder,True,"{'dysmorphic_symptoms': {'symptoms': ['Preoccupation_with_Appearance', 'Appearance_Related_Repetitive_Behaviors']}}","['Body Dysmorphic Disorder', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Bipolar I Disorder with Psychotic Features', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)']","['answer', 'Less likely option', 'Less likely option', 'Less likely option']"
D017,Body Dysmorphic Disorder,D017,Body Dysmorphic Disorder,True,"{'dysmorphic_symptoms': {'symptoms': ['Preoccupation_with_Appearance', 'Appearance_Related_Repetitive_Behaviors']}}","['Posttraumatic Stress Disorder', 'Body Dysmorphic Disorder', 'Schizophrenia', 'Binge-Eating Disorder']","['Less likely option', 'answer', 'Less likely option', 'Less likely option']"
D017,Body Dysmorphic Disorder,D017,Body Dysmorphic Disorder,True,"{'dysmorphic_symptoms': {'symptoms': ['Preoccupation_with_Appearance', 'Appearance_Related_Repetitive_Behaviors']}}","['Schizoaffective Disorder (Bipolar Type)', 'Major Depressive Disorder with Psychotic Features', 'Body Dysmorphic Disorder', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)']","['Less likely option', 'Less likely option', 'answer', 'Less likely option']"
D017,Body Dysmorphic Disorder,D017,Body Dysmorphic Disorder,True,"{'dysmorphic_symptoms': {'symptoms': ['Preoccupation_with_Appearance', 'Appearance_Related_Repetitive_Behaviors']}}","['Persistent Depressive Disorder', 'Schizoaffective Disorder (Depressive Type)', 'Anorexia Nervosa', 'Body Dysmorphic Disorder']","['Less likely option', 'Less likely option', 'Less likely option', 'answer']"
D017,Body Dysmorphic Disorder,D017,Body Dysmorphic Disorder,True,"{'dysmorphic_symptoms': {'symptoms': ['Preoccupation_with_Appearance', 'Appearance_Related_Repetitive_Behaviors']}}","['Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Schizoaffective Disorder (Depressive Type)', 'Persistent Depressive Disorder', 'Body Dysmorphic Disorder']","['Less likely option', 'Less likely option', 'Less likely option', 'answer']"
