question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_diagnostic_criteria-additional_requirements,question-sampled_features-sampled_symptom_groups,option-options,option-index_types
D010,Bipolar I Disorder with Psychotic Features,D010,Bipolar I Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the manic episode'],"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Racing_Thoughts', 'Manic_Distractibility'], 'duration': '6 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Loss_of_Interest', 'Sleep_Disturbance', 'Worthlessness_Guilt', 'Diminished_Thinking'], 'duration': '8 months'}}","['Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)', 'Bipolar I Disorder', 'Bipolar I Disorder with Psychotic Features']","['Highly likely option', 'Highly likely option', 'Highly likely option', 'answer']"
D010,Bipolar I Disorder with Psychotic Features,D010,Bipolar I Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the manic episode'],"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Pressured_Speech', 'Manic_Distractibility'], 'duration': '5 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Diminished_Thinking'], 'duration': '4 months'}}","['Bipolar I Disorder with Psychotic Features', 'Bipolar I Disorder', 'Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)']","['answer', 'Highly likely option', 'Highly likely option', 'Highly likely option']"
D010,Bipolar I Disorder with Psychotic Features,D010,Bipolar I Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the manic episode'],"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Inflated_Self_Esteem', 'Painful_Consequence_Behavior'], 'duration': '5 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Bipolar I Disorder', 'Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder with Psychotic Features']","['Highly likely option', 'Highly likely option', 'Highly likely option', 'answer']"
D010,Bipolar I Disorder with Psychotic Features,D010,Bipolar I Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the manic episode'],"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity'], 'duration': '9 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder', 'Schizoaffective Disorder (Depressive Type)']","['answer', 'Highly likely option', 'Highly likely option', 'Highly likely option']"
D010,Bipolar I Disorder with Psychotic Features,D010,Bipolar I Disorder with Psychotic Features,,"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Inflated_Self_Esteem', 'Decreased_Sleep', 'Increased_Goal_Activity'], 'duration': '1 month'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Schizoaffective Disorder (Depressive Type)', 'Bipolar I Disorder', 'Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)']","['Highly likely option', 'Highly likely option', 'answer', 'Highly likely option']"
D010,Bipolar I Disorder with Psychotic Features,D010,Bipolar I Disorder with Psychotic Features,,"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Decreased_Sleep', 'Pressured_Speech', 'Manic_Distractibility'], 'duration': '3 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Loss_of_Interest', 'Psychomotor_Changes'], 'duration': '9 months'}}","['Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder with Psychotic Features', 'Bipolar I Disorder', 'Schizoaffective Disorder (Depressive Type)']","['Highly likely option', 'answer', 'Highly likely option', 'Highly likely option']"
D010,Bipolar I Disorder with Psychotic Features,D010,Bipolar I Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the manic episode'],"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Decreased_Sleep', 'Painful_Consequence_Behavior'], 'duration': '9 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder']","['answer', 'Highly likely option', 'Highly likely option', 'Highly likely option']"
D010,Bipolar I Disorder with Psychotic Features,D010,Bipolar I Disorder with Psychotic Features,,"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity'], 'duration': '6 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Loss_of_Interest', 'Death_Suicide'], 'duration': '8 months'}}","['Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder', 'Schizoaffective Disorder (Depressive Type)']","['answer', 'Highly likely option', 'Highly likely option', 'Highly likely option']"
D010,Bipolar I Disorder with Psychotic Features,D010,Bipolar I Disorder with Psychotic Features,,"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Increased_Goal_Activity'], 'duration': '8 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Psychomotor_Changes', 'Diminished_Thinking', 'Death_Suicide'], 'duration': '4 months'}}","['Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder', 'Bipolar I Disorder with Psychotic Features']","['Highly likely option', 'Highly likely option', 'Highly likely option', 'answer']"
D010,Bipolar I Disorder with Psychotic Features,D010,Bipolar I Disorder with Psychotic Features,,"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Decreased_Sleep', 'Pressured_Speech', 'Manic_Distractibility'], 'duration': '8 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder', 'Bipolar I Disorder with Psychotic Features']","['Highly likely option', 'Highly likely option', 'Highly likely option', 'answer']"
