question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_diagnostic_criteria-duration,question-sampled_features-sampled_symptom_groups,option-options,option-index_types,question-sampled_features-sampled_diagnostic_criteria-additional_requirements,question-sampled_features-sampled_diagnostic_criteria-functional_impairment_required
D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),1 year and 3 months,"{'hyperactivity_impulsivity': {'symptoms': ['Feeling_Restless', 'Interrupting_Intruding']}, 'inattention': {'symptoms': ['Sustained_Attention_Difficulty', 'Organization_Difficulty']}}","['Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Specific Phobia']","['Highly likely option', 'answer', 'Highly likely option', 'Less likely option']",['Onset prior to age 12 years'],
D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),1 year and 3 months,"{'hyperactivity_impulsivity': {'symptoms': ['Fidgeting', 'Constant_Activity']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Obsessive-Compulsive Disorder', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)']","['answer', 'Highly likely option', 'Less likely option', 'Highly likely option']",['Onset prior to age 12 years'],
D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),1 year and 5 months,"{'hyperactivity_impulsivity': {'symptoms': ['Feeling_Restless', 'Excessive_Talking']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Body Dysmorphic Disorder', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)']","['Highly likely option', 'Less likely option', 'answer', 'Highly likely option']",,
D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),1 year and 11 months,"{'hyperactivity_impulsivity': {'symptoms': ['Leaving_Seat', 'Quiet_Activity_Difficulty', 'Waiting_Turn_Difficulty']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Bipolar I Disorder with Psychotic Features', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)']","['answer', 'Highly likely option', 'Less likely option', 'Highly likely option']",['Onset prior to age 12 years'],
D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),1 year and 7 months,"{'hyperactivity_impulsivity': {'symptoms': ['Excessive_Talking', 'Blurting_Answers', 'Interrupting_Intruding']}, 'inattention': {'symptoms': ['Detail_Inattention_Errors', 'Distractibility']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Schizophrenia', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)']","['Highly likely option', 'Less likely option', 'Highly likely option', 'answer']",,
D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),1 year and 11 months,"{'hyperactivity_impulsivity': {'symptoms': ['Fidgeting', 'Constant_Activity']}}","['Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Schizophrenia', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)']","['Highly likely option', 'Highly likely option', 'Less likely option', 'answer']",,True
D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),1 year and 6 months,"{'hyperactivity_impulsivity': {'symptoms': ['Fidgeting', 'Blurting_Answers']}, 'inattention': {'symptoms': ['Organization_Difficulty']}}","['Obsessive-Compulsive Disorder', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)']","['Less likely option', 'answer', 'Highly likely option', 'Highly likely option']",['Onset prior to age 12 years'],
D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),11 months,"{'hyperactivity_impulsivity': {'symptoms': ['Leaving_Seat', 'Interrupting_Intruding']}}","['Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Binge-Eating Disorder', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)']","['Highly likely option', 'Less likely option', 'answer', 'Highly likely option']",,
D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),2 years and 5 months,"{'hyperactivity_impulsivity': {'symptoms': ['Quiet_Activity_Difficulty', 'Excessive_Talking']}, 'inattention': {'symptoms': ['Detail_Inattention_Errors']}}","['Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Body Dysmorphic Disorder', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)']","['Highly likely option', 'answer', 'Less likely option', 'Highly likely option']",,True
D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),2 years and 1 months,"{'hyperactivity_impulsivity': {'symptoms': ['Feeling_Restless', 'Constant_Activity']}}","['Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Schizophrenia', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)']","['Highly likely option', 'Highly likely option', 'Less likely option', 'answer']",['Onset prior to age 12 years'],
