question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_diagnostic_criteria-additional_requirements,question-sampled_features-sampled_diagnostic_criteria-duration,question-sampled_features-sampled_symptom_groups,option-options,option-index_types
D023,Binge-Eating Disorder,D023,Binge-Eating Disorder,"['The binge eating occurs, on average, at least once a week for 3 months']",3 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'binge_episode_related': {'symptoms': ['Rapid_Eating', 'Eating_Without_Hunger']}}","['Generalized Anxiety Disorder', 'Binge-Eating Disorder', 'Bulimia Nervosa', 'Major Depressive Disorder']","['Less likely option', 'answer', 'Highly likely option', 'Less likely option']"
D023,Binge-Eating Disorder,D023,Binge-Eating Disorder,"['The binge eating occurs, on average, at least once a week for 3 months']",8 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'binge_episode_related': {'symptoms': ['Rapid_Eating', 'Eating_Without_Hunger', 'Negative_Affect_After_Binge']}}","['Bipolar II Disorder', 'Binge-Eating Disorder', 'Anorexia Nervosa', 'Bulimia Nervosa']","['Less likely option', 'answer', 'Less likely option', 'Highly likely option']"
D023,Binge-Eating Disorder,D023,Binge-Eating Disorder,"['The binge eating occurs, on average, at least once a week for 3 months']",2 years and 2 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'binge_episode_related': {'symptoms': ['Eating_Until_Uncomfortably_Full', 'Eating_Without_Hunger', 'Eating_Alone_Due_to_Embarrassment']}}","['Bulimia Nervosa', 'Binge-Eating Disorder', 'Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)']","['Highly likely option', 'answer', 'Less likely option', 'Less likely option']"
D023,Binge-Eating Disorder,D023,Binge-Eating Disorder,"['The binge eating occurs, on average, at least once a week for 3 months']",2 years and 2 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'binge_episode_related': {'symptoms': ['Eating_Without_Hunger', 'Eating_Alone_Due_to_Embarrassment']}}","['Bipolar II Disorder', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Binge-Eating Disorder', 'Bulimia Nervosa']","['Less likely option', 'Less likely option', 'answer', 'Highly likely option']"
D023,Binge-Eating Disorder,D023,Binge-Eating Disorder,"['The binge eating occurs, on average, at least once a week for 3 months']",4 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'binge_episode_related': {'symptoms': ['Rapid_Eating', 'Eating_Without_Hunger', 'Negative_Affect_After_Binge']}}","['Delusional Disorder', 'Bulimia Nervosa', 'Specific Phobia', 'Binge-Eating Disorder']","['Less likely option', 'Highly likely option', 'Less likely option', 'answer']"
D023,Binge-Eating Disorder,D023,Binge-Eating Disorder,"['The binge eating occurs, on average, at least once a week for 3 months']",3 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'binge_episode_related': {'symptoms': ['Eating_Without_Hunger', 'Eating_Alone_Due_to_Embarrassment']}}","['Bulimia Nervosa', 'Adjustment Disorder', 'Schizoaffective Disorder (Bipolar Type)', 'Binge-Eating Disorder']","['Highly likely option', 'Less likely option', 'Less likely option', 'answer']"
D023,Binge-Eating Disorder,D023,Binge-Eating Disorder,"['The binge eating occurs, on average, at least once a week for 3 months']",1 year and 7 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'binge_episode_related': {'symptoms': ['Rapid_Eating', 'Eating_Alone_Due_to_Embarrassment']}}","['Persistent Depressive Disorder', 'Bulimia Nervosa', 'Body Dysmorphic Disorder', 'Binge-Eating Disorder']","['Less likely option', 'Highly likely option', 'Less likely option', 'answer']"
D023,Binge-Eating Disorder,D023,Binge-Eating Disorder,"['The binge eating occurs, on average, at least once a week for 3 months']",1 year and 8 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'binge_episode_related': {'symptoms': ['Rapid_Eating', 'Eating_Until_Uncomfortably_Full']}}","['Adjustment Disorder', 'Bulimia Nervosa', 'Major Depressive Disorder with Psychotic Features', 'Binge-Eating Disorder']","['Less likely option', 'Highly likely option', 'Less likely option', 'answer']"
D023,Binge-Eating Disorder,D023,Binge-Eating Disorder,"['The binge eating occurs, on average, at least once a week for 3 months']",1 year,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'binge_episode_related': {'symptoms': ['Eating_Alone_Due_to_Embarrassment', 'Negative_Affect_After_Binge']}}","['Bulimia Nervosa', 'Binge-Eating Disorder', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Body Dysmorphic Disorder']","['Highly likely option', 'answer', 'Less likely option', 'Less likely option']"
D023,Binge-Eating Disorder,D023,Binge-Eating Disorder,"['The binge eating occurs, on average, at least once a week for 3 months']",1 year and 2 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'binge_episode_related': {'symptoms': ['Eating_Without_Hunger', 'Negative_Affect_After_Binge']}}","['Binge-Eating Disorder', 'Body Dysmorphic Disorder', 'Adjustment Disorder', 'Bulimia Nervosa']","['answer', 'Less likely option', 'Less likely option', 'Highly likely option']"
