question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_diagnostic_criteria-duration,question-sampled_features-sampled_symptom_groups,option-options,option-index_types,question-sampled_features-sampled_diagnostic_criteria-additional_requirements,question-sampled_features-sampled_diagnostic_criteria-functional_impairment_required
D004,Delusional Disorder,D004,Delusional Disorder,1 year and 5 months,{'delusions': {'symptoms': ['Delusions']}},"['Delusional Disorder', 'Schizophrenia', 'Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)']","['answer', 'Moderately likely option', 'Moderately likely option', 'Moderately likely option']",['Functioning is not markedly impaired apart from the impact of the delusion(s) or its ramifications'],
D004,Delusional Disorder,D004,Delusional Disorder,1 year,{'delusions': {'symptoms': ['Delusions']}},"['Schizoaffective Disorder (Depressive Type)', 'Schizophrenia', 'Delusional Disorder', 'Schizoaffective Disorder (Bipolar Type)']","['Moderately likely option', 'Moderately likely option', 'answer', 'Moderately likely option']",,
D004,Delusional Disorder,D004,Delusional Disorder,1 month,{'delusions': {'symptoms': ['Delusions']}},"['Schizophrenia', 'Schizoaffective Disorder (Depressive Type)', 'Delusional Disorder', 'Schizoaffective Disorder (Bipolar Type)']","['Moderately likely option', 'Moderately likely option', 'answer', 'Moderately likely option']",,
D004,Delusional Disorder,D004,Delusional Disorder,11 months,{'delusions': {'symptoms': ['Delusions']}},"['Schizoaffective Disorder (Bipolar Type)', 'Delusional Disorder', 'Schizophrenia', 'Schizoaffective Disorder (Depressive Type)']","['Moderately likely option', 'answer', 'Moderately likely option', 'Moderately likely option']",['Functioning is not markedly impaired apart from the impact of the delusion(s) or its ramifications'],False
D004,Delusional Disorder,D004,Delusional Disorder,1 year,{'delusions': {'symptoms': ['Delusions']}},"['Schizoaffective Disorder (Depressive Type)', 'Delusional Disorder', 'Schizoaffective Disorder (Bipolar Type)', 'Schizophrenia']","['Moderately likely option', 'answer', 'Moderately likely option', 'Moderately likely option']",['Functioning is not markedly impaired apart from the impact of the delusion(s) or its ramifications'],
D004,Delusional Disorder,D004,Delusional Disorder,1 year and 4 months,{'delusions': {'symptoms': ['Delusions']}},"['Schizophrenia', 'Schizoaffective Disorder (Depressive Type)', 'Delusional Disorder', 'Schizoaffective Disorder (Bipolar Type)']","['Moderately likely option', 'Moderately likely option', 'answer', 'Moderately likely option']",['Functioning is not markedly impaired apart from the impact of the delusion(s) or its ramifications'],
D004,Delusional Disorder,D004,Delusional Disorder,5 months,{'delusions': {'symptoms': ['Delusions']}},"['Schizophrenia', 'Schizoaffective Disorder (Bipolar Type)', 'Delusional Disorder', 'Schizoaffective Disorder (Depressive Type)']","['Moderately likely option', 'Moderately likely option', 'answer', 'Moderately likely option']",,False
D004,Delusional Disorder,D004,Delusional Disorder,1 year and 8 months,{'delusions': {'symptoms': ['Delusions']}},"['Schizoaffective Disorder (Depressive Type)', 'Delusional Disorder', 'Schizophrenia', 'Schizoaffective Disorder (Bipolar Type)']","['Moderately likely option', 'answer', 'Moderately likely option', 'Moderately likely option']",,
D004,Delusional Disorder,D004,Delusional Disorder,6 months,{'delusions': {'symptoms': ['Delusions']}},"['Schizoaffective Disorder (Depressive Type)', 'Schizophrenia', 'Delusional Disorder', 'Schizoaffective Disorder (Bipolar Type)']","['Moderately likely option', 'Moderately likely option', 'answer', 'Moderately likely option']",['Functioning is not markedly impaired apart from the impact of the delusion(s) or its ramifications'],False
D004,Delusional Disorder,D004,Delusional Disorder,2 years and 5 months,{'delusions': {'symptoms': ['Delusions']}},"['Schizoaffective Disorder (Bipolar Type)', 'Schizophrenia', 'Schizoaffective Disorder (Depressive Type)', 'Delusional Disorder']","['Moderately likely option', 'Moderately likely option', 'Moderately likely option', 'answer']",,False
