question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_symptom_groups,option-options,option-index_types
D021,Anorexia Nervosa,D021,Anorexia Nervosa,"{'anorexia_nervosa': {'symptoms': ['Restrictive_Intake', 'Low_Weight', 'Fear_of_Weight_Gain']}}","['Anorexia Nervosa', 'Bipolar I Disorder', 'Bipolar II Disorder', 'Bulimia Nervosa']","['answer', 'Less likely option', 'Less likely option', 'Moderately likely option']"
D021,Anorexia Nervosa,D021,Anorexia Nervosa,"{'anorexia_nervosa': {'symptoms': ['Restrictive_Intake', 'Low_Weight', 'Fear_of_Weight_Gain']}}","['Bulimia Nervosa', 'Obsessive-Compulsive Disorder', 'Schizophrenia', 'Anorexia Nervosa']","['Moderately likely option', 'Less likely option', 'Less likely option', 'answer']"
D021,Anorexia Nervosa,D021,Anorexia Nervosa,"{'anorexia_nervosa': {'symptoms': ['Restrictive_Intake', 'Low_Weight', 'Fear_of_Weight_Gain']}}","['Major Depressive Disorder', 'Bulimia Nervosa', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Anorexia Nervosa']","['Less likely option', 'Moderately likely option', 'Less likely option', 'answer']"
D021,Anorexia Nervosa,D021,Anorexia Nervosa,"{'anorexia_nervosa': {'symptoms': ['Restrictive_Intake', 'Low_Weight', 'Fear_of_Weight_Gain', 'Low_Weight_Severity_Non_Recognition']}}","['Anorexia Nervosa', 'Specific Phobia', 'Bulimia Nervosa', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)']","['answer', 'Less likely option', 'Moderately likely option', 'Less likely option']"
D021,Anorexia Nervosa,D021,Anorexia Nervosa,"{'anorexia_nervosa': {'symptoms': ['Restrictive_Intake', 'Low_Weight', 'Fear_of_Weight_Gain']}}","['Posttraumatic Stress Disorder', 'Anorexia Nervosa', 'Bulimia Nervosa', 'Obsessive-Compulsive Disorder']","['Less likely option', 'answer', 'Moderately likely option', 'Less likely option']"
D021,Anorexia Nervosa,D021,Anorexia Nervosa,"{'anorexia_nervosa': {'symptoms': ['Restrictive_Intake', 'Low_Weight', 'Fear_of_Weight_Gain']}}","['Persistent Depressive Disorder', 'Body Dysmorphic Disorder', 'Bulimia Nervosa', 'Anorexia Nervosa']","['Less likely option', 'Less likely option', 'Moderately likely option', 'answer']"
D021,Anorexia Nervosa,D021,Anorexia Nervosa,"{'anorexia_nervosa': {'symptoms': ['Restrictive_Intake', 'Low_Weight', 'Fear_of_Weight_Gain', 'Body_Image_Weight_Shape_Disturbance', 'Low_Weight_Severity_Non_Recognition']}}","['Anorexia Nervosa', 'Bulimia Nervosa', 'Body Dysmorphic Disorder', 'Major Depressive Disorder']","['answer', 'Moderately likely option', 'Less likely option', 'Less likely option']"
D021,Anorexia Nervosa,D021,Anorexia Nervosa,"{'anorexia_nervosa': {'symptoms': ['Restrictive_Intake', 'Low_Weight', 'Fear_of_Weight_Gain']}}","['Anorexia Nervosa', 'Bulimia Nervosa', 'Adjustment Disorder', 'Posttraumatic Stress Disorder']","['answer', 'Moderately likely option', 'Less likely option', 'Less likely option']"
D021,Anorexia Nervosa,D021,Anorexia Nervosa,"{'anorexia_nervosa': {'symptoms': ['Restrictive_Intake', 'Low_Weight', 'Fear_of_Weight_Gain', 'Body_Image_Weight_Shape_Disturbance']}}","['Bulimia Nervosa', 'Body Dysmorphic Disorder', 'Anorexia Nervosa', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)']","['Moderately likely option', 'Less likely option', 'answer', 'Less likely option']"
D021,Anorexia Nervosa,D021,Anorexia Nervosa,"{'anorexia_nervosa': {'symptoms': ['Restrictive_Intake', 'Low_Weight', 'Fear_of_Weight_Gain', 'Body_Image_Weight_Shape_Disturbance', 'Low_Weight_Severity_Non_Recognition']}}","['Anorexia Nervosa', 'Body Dysmorphic Disorder', 'Bulimia Nervosa', 'Binge-Eating Disorder']","['answer', 'Less likely option', 'Moderately likely option', 'Less likely option']"
